id_estudiante;Fecha Texto;Hora;Minuto;ap_device_config_name;ap_group;ap_lan_mac;client_device_type;client_radio_mode;client_role;clientrssi;place;operational_mode;Programa;radio_type;signal;snmp_uptime;snr;Hora completa texto
Estudiante 342;18/02/2020;9;59;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Android;n;R_General_SinGP;44;Sala Interactiva s1;n;COMSC;bgn;-48;9769993;44;9:59 am
Estudiante 342;18/02/2020;11;49;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Android;n;R_General_SinGP;41;Sala Interactiva s1;n;COMSC;bgn;-56;9776592;41;11:49 am
Estudiante 342;5/02/2020;16;44;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Android;n;R_General_SinGP;15;Sala Interactiva s1;n;COMSC;bgn;-56;8671092;15;4:44 pm
Estudiante 342;5/02/2020;16;49;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Android;n;R_General_SinGP;56;Sala Interactiva s1;n;COMSC;bgn;-37;8671391;56;4:49 pm
Estudiante 342;5/02/2020;16;54;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Android;n;R_General_SinGP;52;Sala Interactiva s1;n;COMSC;bgn;-48;8671689;52;4:54 pm
Estudiante 3758;6/02/2020;11;39;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Huawei ANE-LX3;n;R_General;37;Sala Interactiva s1;n;ISIST;bgn;-60;8739194;37;11:39 am
Estudiante 3758;6/02/2020;11;54;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Huawei ANE-LX3;n;R_General;31;Sala Interactiva s1;n;ISIST;bgn;-56;8740091;31;11:54 am
Estudiante 3758;6/02/2020;11;59;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Huawei ANE-LX3;n;R_General;40;Sala Interactiva s1;n;ISIST;bgn;-60;8740393;40;11:59 am
Estudiante 3758;7/02/2020;13;9;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Huawei ANE-LX3;n;R_General;31;Sala Interactiva s1;n;ISIST;bgn;-96;8830992;31;1:09 pm
Estudiante 3758;7/02/2020;13;49;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Huawei ANE-LX3;n;R_General;37;Sala Interactiva s1;n;ISIST;bgn;-55;8833392;37;1:49 pm
Estudiante 3758;7/02/2020;13;54;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Huawei ANE-LX3;n;R_General;41;Sala Interactiva s1;n;ISIST;bgn;-58;8833691;41;1:54 pm
Estudiante 9;22/01/2020;8;49;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Huawei ANE-LX3;n;R_General_SinGP;28;Sala Interactiva s1;n;ISIST_1;bgn;-72;7432989;28;8:49 am
Estudiante 9;23/01/2020;16;14;28.(2).HemOri_196807;Biblioteca;80:8D:B7:CD:D2:6E;Huawei ANE-LX3;n;R_General_SinGP;35;Sala Interactiva s1;n;ISIST_1;bgn;-61;7546092;35;4:14 pm
